Title,Author,Citation,Issue,Type ,Description,Year
Regulating Rehabilitation,"Carrick, Kathleen",74 Law Libr. J. 556 (1981),Issue 3,article,,1981
Innovations in Legal Bibliography Instruction,"Carlson, Rhonda;Calvert, Lois;McConkey, Joan",74 Law Libr. J. 615 (1981),Issue 3,comments,,1981
Library of Congress Classification System for German Law: A New Approach,"Goldberg, Jolande E.",74 Law Libr. J. 619 (1981),Issue 3,comments,,1981
Classification of Roman Law: Problems and a Suggested Classification Scheme,"Wajenberg, Arnold;Gorecki, Danuta",74 Law Libr. J. 632 (1981),Issue 3,article,,1981
Integrating New Technology: Some Architectural Solutions,"Cochran, J. Wesley",74 Law Libr. J. 643 (1981),Issue 3,article,,1981
Legal Banter,"Bander, Edward J.",74 Law Libr. J. 692 (1981),Issue 3,comments,,1981
Anglo-American Legal Citation: Historical Development and Library Implications,"Cooper, Byron D.",75 Law Libr. J. 3 (1982),Issue 1,article,,1982
Current Research Sources in French Law,"Germain, Claire M.",75 Law Libr. J. 34 (1982),Issue 1,article,,1982
American Researcher's Guide to European Communities Law and Legal Literature,"Kearley, Timothy",75 Law Libr. J. 52 (1982),Issue 1,article,,1982
Research in Securities Regulation: Access to the Sources of the Law,"Sargent, Mark A.;Greenberg, Emily R.",75 Law Libr. J. 98 (1982),Issue 1,article,,1982
Subject Compilations of State Laws: Research Guide and Annotated Bibliography Update,"Nyberg, Cheryl;Boast, Carol",75 Law Libr. J. 121 (1982),Issue 1,comments,Comments,1982
Effective Book Cost Analysis and Reflections on the American Bar Association Standards,"Schultz, Jon S.",75 Law Libr. J. 141 (1982),Issue 1,article,,1982
Legal Citation Form: Theory and Practice,"Axel-Lute, Paul",75 Law Libr. J. 148 (1982),Issue 1,article,,1982
Cancellation of Serials in Budget Crisis: The Technical Problems,"Fessenden, Ann T.",75 Law Libr. J. 157 (1982),Issue 1,article,,1982
Accelerated Legal Research at U. S. C. Law Center,"Brecht, Albert",75 Law Libr. J. 167 (1982),Issue 1,article,,1982
A Short Look at Twenty-Five Years of the Law Library Journal,"Dyer, Charles R.",75 Law Libr. J. 187 (1982),Issue 2,article,75th Anniversary Symposium,1982
Tradition and Change in Law Library Goals,"Cohen, Morris L.",75 Law Libr. J. 192 (1982),Issue 2,article,75th Anniversary Symposium,1982
An Examination of the Dynamics of Change in Information Technology as Viewed from Law Libraries and Information Centers,"Badertscher, David G.",75 Law Libr. J. 198 (1982),Issue 2,article,75th Anniversary Symposium,1982
An Analysis of Academic Law Library Growth Since 1907,"Mersky, Roy M.;Jacobstein, J. Myron;Berkey, Irene",75 Law Libr. J. 212 (1982),Issue 2,article,75th Anniversary Symposium,1982
The Law Librarian's Obligation to Publish,"Dunn, Donald J.",75 Law Libr. J. 225 (1982),Issue 2,article,75th Anniversary Symposium,1982
"Research, Writing, and Advocacy in the Law School Curriculum","Morse, Anita L.",75 Law Libr. J. 232 (1982),Issue 2,article,75th Anniversary Symposium,1982
I Remember Them Well,"Gallagher, Marian;Marke, Julius;Charpentier, Arthur A.",75 Law Libr. J. 270 (1982),Issue 2,article,75th Anniversary Symposium,1982
Legal Humor Dissected,"Bander, Edward J.",75 Law Libr. J. 289 (1982),Issue 2,article,75th Anniversary Symposium,1982
The Move of the University of Michigan Law Library,"Leary, Margaret A.",75 Law Libr. J. 308 (1982),Issue 2,article,,1982
Clouds of Codes: The New International Economic Order through Codes of Conduct: A Survey,"Reynolds, Thomas H.",75 Law Libr. J. 315 (1982),Issue 3,comments,Comments,1982
Researching Oral History Materials: The Case of Earl Warren,"White, G. Edward",75 Law Libr. J. 355 (1982),Issue 3,article,,1982
The Bar Examination: Utilization of Bar Questions and Model Answers in Legal Education,"Swan, George S.",75 Law Libr. J. 362 (1982),Issue 3,article,,1982
Cataloging and Classification Practices in Law Libraries: Update,"Piper, Patricia L.;Kwan, Cecilia Hing Ling",75 Law Libr. J. 375 (1982),Issue 3,article,,1982
"Canon Law: History, Sources, and a Proposed Classification Scheme","Gorecki, Danuta M.;Wajenberg, Arnold",75 Law Libr. J. 381 (1982),Issue 3,article,,1982
OCLC's Serials Control Subsystem: Its Suitability to Legal Serials and Continuations,"Leonard, James",75 Law Libr. J. 403 (1982),Issue 3,article,,1982
Legal Looseleaf Services: A Computer-Based Approach,"Goldblatt, Margaret A.",75 Law Libr. J. 420 (1982),Issue 3,article,,1982
"Report to the Copyright Office by the American Association of Law Libraries July 30, 1982","Heller, James S.",75 Law Libr. J. 438 (1982),Issue 3,comments,Comments,1982
Law Library Staff Meetings: Necessary Evil or Effective Group Process,"Schauck, Peter C.",75 Law Libr. J. 473 (1982),Issue 4,article,,1982
Hungarian Legal Institutions and Their Publications: A Legal Bibliography with Translations and Annotations,"Csaky, Susan D.",75 Law Libr. J. 490 (1982),Issue 4,comments,Comments,1982
A Seventeenth Century Roman Law Bibliography: Jacques Godefroy and His Bibliotheca Juris Civilis Romani,"Hoeflich, M. H.",75 Law Libr. J. 514 (1982),Issue 4,comments,Comments,1982
"Assisting Prisoners: Reference Guidelines at Kratter Law Library, University of San Diego","St. Sauver-Reinecke, Barbara",75 Law Libr. J. 529 (1982),Issue 4,article,,1982
Growth Analysis of the Major Supplemented Law Books in a County Law Library,"Chrisant, Rosemarie",75 Law Libr. J. 536 (1982),Issue 4,article,,1982
Index to 1982 Convention Abstracts and Program Proceedings,"Leary, Margaret A.",75 Law Libr. J. 597 (1982),Issue 4,comments,Index,1982
"Far Beyond the Law Reports: Secondary Source Citations in United States Supreme Court Opinions October Terms 1900, 1940, and 1978","Daniels, Wes",76 Law. Libr. J. 1 (Winter 1983),Issue 1,article,,1983
On Bacon's Rules and Maximes of the Common Law,"Hogan, John C.;Schwartz, Mortimer D.",76 Law. Libr. J. 48 (Winter 1983),Issue 1,article,,1983
The Invention of Modern Empiricism: Juridical Foundations of Francis Bacon's Philosophy of Science,"Wheeler, Harvey",76 Law. Libr. J. 78 (Winter 1983),Issue 1,article,,1983
An Acceleration System for Routing Materials in Law Firm Libraries,"Endres, Heidi",76 Law. Libr. J. 121 (Winter 1983),Issue 1,article,,1983
The Making of a Cataloging Manual at Southern Illinois University,"Matthews, Elizabeth W.",76 Law. Libr. J. 123 (Winter 1983),Issue 1,article,,1983
Reference Theory and the Future of Legal Reference Service,"Danner, Richard A.",76 Law. Libr. J. 217 (Spring 1983),Issue 2,article,,1983
Automated Legislative Information Systems: A New Tool for Legal Research,"Kauffman, S. Blair",76 Law. Libr. J. 233 (Spring 1983),Issue 2,article,,1983
"The Periodical Section of the Uniform System of Citation, Thirteenth Edition: A Review and Some Suggestions","Teitelbaum, Gene W.",76 Law. Libr. J. 264 (Spring 1983),Issue 2,article,,1983
Microforms: Beyond the Basics Introduction to a Symposium,"Carter, Nancy Carol;Huff, Susan E.",76 Law. Libr. J. 299 (Spring 1983),Issue 2,comments,Microform Symposium,1983
Microform Holdings and American Bar Association Accreditation Standards,"Benemann, William E.",76 Law. Libr. J. 333 (Spring 1983),Issue 2,article,Microform Symposium,1983
Microforms: Still a Future in Law Libraries,"Carter, Nancy Carol;Dupont, Jerry",76 Law. Libr. J. 339 (Spring 1983),Issue 2,article,Microform Symposium,1983
Volume Equivalents of Microforms--A Question`,"Belgum, Kathie",76 Law. Libr. J. 345 (Spring 1983),Issue 2,article,Microform Symposium,1983
Annotated Bibliography of Micrographic Sources for the Law Librarian,"Hurtado, Lovisa",76 Law. Libr. J. 357 (Spring 1983),Issue 2,article,Microform Symposium,1983
Cataloging Microforms Using RLIN,"Hillmann, Diane I.",76 Law. Libr. J. 378 (Spring 1983),Issue 2,article,Microform Symposium,1983
Cataloging Microreproductions on OCLC: One Cataloger's Experience,"deVergie, Adrienne",76 Law. Libr. J. 380 (Spring 1983),Issue 2,article,Microform Symposium,1983
Microform Management: A Practical Note,"Ochal, Bethany J.",76 Law. Libr. J. 383 (Spring 1983),Issue 2,article,Microform Symposium,1983
University of Michigan Law Library Microfom Policy,"Leary, Margaret A.",76 Law. Libr. J. 386 (Spring 1983),Issue 2,article,Microform Symposium,1983
Microfiche Conversion Program at Johnson & Swanson or What to Do When the Compactor Won't Work Anymore  ,"Pennington, Catherine A.;Taylor-Glaze, Maureen A. S.",76 Law. Libr. J. 391 (Spring 1983),Issue 2,article,Microform Symposium,1983
MAUL: An OCLC Union List of Legal Periodicals,"Nicely, Marilyn K.;Stoppel, Kaye;Amelung, Richard",76 Law. Libr. J. 394 (Spring 1983),Issue 2,article,,1983
A Staff Exchange Program: Mid-America's Experience,"Edwards, John D.",76 Law. Libr. J. 402 (Spring 1983),Issue 2,article,,1983
AALL Institute on International Law and Business--Foreword,"Germain, Claire M.;Grossman, George S.",76 Law. Libr. J. 421 (Summer 1983),Issue 3,comments,International Law Symposium,1983
Reference Sources in International Law,"Bernal, Marie-Louise H.",76 Law. Libr. J. 427 (Summer 1983),Issue 3,article,International Law Symposium,1983
Domestic Sources of International Law,"Weisbaum, Earl",76 Law. Libr. J. 436 (Summer 1983),Issue 3,article,International Law Symposium,1983
United States Treaties and International Agreements: Sources of Publication and Legislative History Documents,"Kavass, Igor I.",76 Law. Libr. J. 442 (Summer 1983),Issue 3,article,International Law Symposium,1983
Fundamentals of Foreign Treaty Research,"Sprudzs, Adolf",76 Law. Libr. J. 458 (Summer 1983),Issue 3,article,International Law Symposium,1983
Foreign and International Law Research Centers in West Germany: The Max Planck Institutes,"Goedan, Juergen Christoph",76 Law. Libr. J. 464 (Summer 1983),Issue 3,article,International Law Symposium,1983
International Organizations Documentation and International Law Collections,"Schaaf, Robert W.",76 Law. Libr. J. 482 (Summer 1983),Issue 3,article,International Law Symposium,1983
Application of International Human Rights Standards by United States Courts,"Paust, Jordan J.",76 Law. Libr. J. 496 (Summer 1983),Issue 3,article,International Law Symposium,1983
International Business Transactions: A Guide to Research Sources,"Kavass, Igor I.",76 Law. Libr. J. 503 (Summer 1983),Issue 3,article,International Law Symposium,1983
The Civilising (and Civilianizing) Functions of International Law Librarians,"Baade, Hans W.",76 Law. Libr. J. 565 (Summer 1983),Issue 3,article,International Law Symposium,1983
"Publication of the Orders of Federal Administrative Law Judges: A Problem for Law Librarianship, Political Science Research, and Democracy","Wheat, Edward M.;Marquardt, Ronald",76 Law. Libr. J. 571 (Summer 1983),Issue 3,article,,1983
Law School Honor Codes,"Snyder, Fritz;Goza, Shirley",76 Law. Libr. J. 585 (Summer 1983),Issue 3,article,,1983
Legal Research Instruction after the First Year of Law School,"Mills, Robin K.",76 Law. Libr. J. 603 (Summer 1983),Issue 3,article,,1983
LEXIS and WESTLAW Instruction in the Law School: University of Oklahoma,"Edwards, John D.",76 Law. Libr. J. 605 (Summer 1983),Issue 3,article,,1983
1981-1982 and 1982-1983 Summaries of Law School Library Statistics and Observations on Applications of Library Statistics,"Thomas, David A.",76 Law. Libr. J. 632 (Summer 1983),Issue 3,article,,1983
Planning for Automation: Microcomputers in the Law Library,"Kauffman, S. Blair",77 Law. Libr. J. 6 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Peaceful Partnerships: Suggestions for Law School Libraries Sharing Local Computer Systems,"Thomas, David A.",77 Law. Libr. J. 26 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
The Impact of Automation on Small and Medium-Sized Law School Libraries,"Zick, Kenneth A.",77 Law. Libr. J. 36 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
The Totally On-Line Library: Northwestern's Integrated Library System,"Grossman, George S.",77 Law. Libr. J. 47 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Serials Control at Boalt Hall,"Schriefer, Kent",77 Law. Libr. J. 58 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
LAMBDA at the University of Virginia Law Library,"Wynne, Joseph",77 Law. Libr. J. 76 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Geac Computerized On-Line Circulation in University Libraries: Should the Law Library Join the System,"Fishlyn, Fannie Szathmary",77 Law. Libr. J. 87 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Geac at the University of Maryland Law Library: Commentary on Fishlyn,"Gontrum, Barbara Sutton",77 Law. Libr. J. 100 (1984-1985),Issue 1,comments,Symposium on Law Library Automation,1984
Microcomputers and Law Library Automation: New Directions,"Royle, Mary Anne",77 Law. Libr. J. 104 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
The Use of Microcomputers at George Mason University Law Library,"Burnett, Stephen L.;Petit, Michael J.",77 Law. Libr. J. 132 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Technical Services Aspects of Data Base Integration into the Law Library ,"Marion, Phyllis C.",77 Law. Libr. J. 146 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Quo Vadis,"Rempel, S. Patricia",77 Law. Libr. J. 151 (1984-1985),Issue 1,article,Symposium on Law Library Automation,1984
Changes in Legal Scholarship and Their Impact on Law School Library Reference Services,"Brecht, Albert ",77 Law. Libr. J. 157 (1984-1985),Issue 1,article,,1984
Trial Transcipts as Research Documents,"Thomas, William A.",77 Law. Libr. J. 165 (1984-1985),Issue 1,article,,1984
Paralegal Programs: An Educational Alternative for Law Librarians,"Harris, Catherine K.",77 Law. Libr. J. 171 (1984-1985),Issue 1,article,,1984
Negligence Law for Libraries,"Allred, Carol B.",77 Law. Libr. J. 195 (1984-1985),Issue 2,article,,1984
A Recent History of the Pricing of Government Publications,"Carlborg, Ken",77 Law. Libr. J. 223 (1984-1985),Issue 2,article,,1984
Fees for Service: The Golden Gate University Law Library Membership Plan,"Carter, Nancy Carol;Pagel, Scott B.",77 Law. Libr. J. 243 (1984-1985),Issue 2,article,,1984
Bounds and Reality: Lawbooks Alone Do Not a Lawyer Make,"Flores, Arturo A.",77 Law. Libr. J. 275 (1984-1985),Issue 2,article,,1984
Development of a Maritime Law Classification: The University of Virginia Newlin Collection on Oceans Law and Policy,"Myers, Anne K.",77 Law. Libr. J. 289 (1984-1985),Issue 2,article,,1984
A Bibliography of Arthur Goldberg,"Watts, Tim J.",77 Law. Libr. J. 307 (1984-1985),Issue 2,comments,Bibliography,1984
Pico and Beyond: School Library Censorship Controversies,"Dunn, Donald J.",77 Law. Libr. J. 435 (1984-1985),Issue 3,article,,1984
"Research Guide to Immigration, Aliens, and the Law ","Pagel, Scott B.",77 Law. Libr. J. 465 (1984-1985),Issue 3,article,,1984
"AALL Scholarships and Grants, 1984: Who Applied and Who Was Chosen","Hanley, Thomas L.",77 Law. Libr. J. 521 (1984-1985),Issue 3,article,,1984
A Brief History of Computer-Assisted Legal Research,"Harrington, William G.",77 Law. Libr. J. 543 (1984-1985),Issue 3,article,,1984
Planning a Publication Venture: The Development of Legal Information Management Index,"Fox, Elyse H.",77 Law. Libr. J. 557 (1984-1985),Issue 3,article,,1984
Administering the Library Conservation Program,"Buchanan, Sally A.",77 Law. Libr. J. 569 (1984-1985),Issue 3,article,,1984
Introduction to the National Law Library Symposium,"Mersky, Roy M.",77 Law. Libr. J. 617 (1984-1985),Issue 4,comments,National Law Library Symposium,1984
The Special Committee on a National Law Library: A History,"Grossman, George S.",77 Law. Libr. J. 621 (1984-1985),Issue 4,article,National Law Library Symposium,1984
The Role of the Law Library of Congress in the National Law Information System,"Berwick, Philip C.",77 Law. Libr. J. 629 (1984-1985),Issue 4,article,National Law Library Symposium,1984
Collection Development Impact of a National Law Library,"Oakley, Robert L.;Campbell, Vivian L.",77 Law. Libr. J. 639 (1984-1985),Issue 4,article,National Law Library Symposium,1984
The National Law Library: Service Expectations of the Second-Tier Libraries,"Saltalamachia, Joyce",77 Law. Libr. J. 649 (1984-1985),Issue 4,article,National Law Library Symposium,1984
Cooperative Acquisitions among Law Libraries: A Review,"Goldblatt, Magaret A.;Reams, Bernard D. Jr.",77 Law. Libr. J. 657 (1984-1985),Issue 4,misc,National Law Library Symposium,1984
The National Library of Medicine,"Kronick, David A.",77 Law. Libr. J. 667 (1984-1985),Issue 4,article,National Law Library Symposium,1984
Foreign Experiences toward the Development of a National Legal Information Center,"Germain, Claire M.",77 Law. Libr. J. 675 (1984-1985),Issue 4,article,National Law Library Symposium,1984
The Role of a National Legal Information Center in the Access to Justice,"Nissenbaum, Robert J.",77 Law. Libr. J. 695 (1984-1985),Issue 4,article,National Law Library Symposium,1984
